t,y
2.8144,12.2013
2.8158,12.2093
2.8172,12.2174
2.8186,12.2254
2.82,12.2335
2.8214,12.2415
2.8228,12.2496
2.8242,12.2576
2.8256,12.2657
2.827,12.2737
2.8284,12.2818
2.8298,12.2898
2.8312,12.2979
2.8326,12.3059
2.834,12.314
2.8354,12.322
2.8368,12.3301
2.8382,12.3381
2.8396,12.3462
2.841,12.3542
2.8424,12.3623
2.8438,12.3703
2.8452,12.3784
2.8466,12.3864
2.848,12.3945
2.8494,12.4025
2.8508,12.4106
2.8522,12.4186
2.8536,12.4267
2.855,12.4347
2.8564,12.4428
2.8578,12.4508
2.8592,12.4589
2.8606,12.4669
2.862,12.475
2.8634,12.483
2.8648,12.491
2.8662,12.4991
2.8676,12.5071
2.869,12.5152
2.8704,12.5232
2.8718,12.5313
2.8732,12.5393
2.8746,12.5474
2.876,12.5554
2.8774,12.5635
2.8788,12.5715
2.8802,12.5796
2.8816,12.5876
2.883,12.5957
2.8844,12.6037
2.8858,12.6118
2.8872,12.6198
2.8886,12.6279
2.89,12.6359
2.8914,12.644
2.8928,12.652
2.8942,12.6601
2.8956,12.6681
2.897,12.6762
2.8984,12.6842
2.8998,12.6923
2.9012,12.7003
2.9026,12.7084
2.904,12.7164
2.9054,12.7245
2.9068,12.7325
2.9082,12.7406
2.9096,12.7486
2.911,12.7567
2.9124,12.7647
2.9138,12.7728
2.9152,12.7808
2.9166,12.7889
2.918,12.7969
2.9194,12.805
2.9208,12.813
2.9222,12.8211
2.9236,12.8291
2.925,12.8371
2.9264,12.8452
2.9278,12.8532
2.9292,12.8613
2.9306,12.8693
2.932,12.8774
2.9334,12.8854
2.9348,12.8935
2.9362,12.9015
2.9376,12.9096
2.939,12.9176
2.9404,12.9257
2.9418,12.9337
2.9432,12.9418
2.9446,12.9498
2.946,12.9579
2.9474,12.9659
2.9488,12.974
2.9502,12.982
2.9516,12.9901
2.953,12.9981
2.9544,13.0062
2.9558,13.0142
2.9572,13.0223
2.9586,13.0303
2.96,13.0384
2.9614,13.0464
2.9628,13.0545
2.9642,13.0625
2.9656,13.0706
2.967,13.0786
2.9684,13.0867
2.9698,13.0947
2.9712,13.1028
2.9726,13.1108
2.974,13.1189
2.9754,13.1269
2.9768,13.135
2.9782,13.143
2.9796,13.1511
2.981,13.1591
2.9824,13.1672
2.9838,13.1752
2.9852,13.1832
2.9866,13.1913
2.988,13.1993
2.9894,13.2074
2.9908,13.2154
2.9922,13.2235
2.9936,13.2315
2.995,13.2396
2.9964,13.2476
2.9978,13.2557
2.9992,13.2637
3.0006,13.2718
3.002,13.2798
3.0034,13.2879
